Time,Position Axis 1,Load Axis 1,Command Axis 1,Aux 0,Aux 1,Aux 2,Cycles
0.4000000000,60.7261810303,0.5591097473,60.6958007812,-0.0341860838,0.0012080721,0.0039098076,0.0000000000
0.4500000000,60.6878929139,0.5191556215,60.6458015442,-0.0337880254,-0.0012705469,-0.0013132494,0.0000000000
0.5000000000,60.6326828002,0.5412066579,60.5958023071,-0.0341575518,0.0013671953,0.0035696032,0.0000000000
0.5500000000,60.5781517030,0.5189265012,60.5458030701,-0.0347292237,-0.0014300562,-0.0015593459,0.0000000000
0.6000000000,60.5339508056,0.5272213817,60.4958038330,-0.0355037376,0.0014259438,0.0032498818,0.0000000000
0.6500000000,60.4674148563,0.4995273651,60.4458045959,-0.0355238207,-0.0015690635,-0.0014200456,0.0000000000
0.7000000000,60.4283981322,0.5481187703,60.3958053589,-0.0363595299,0.0012460161,0.0027772663,0.0000000000
0.7500000000,60.3546562197,0.5163974164,60.3458061218,-0.0374357291,-0.0011029569,-0.0013312864,0.0000000000
0.8000000000,60.3293190002,0.5162655712,60.2958068848,-0.0380719081,0.0007802456,0.0025829375,0.0000000000
0.8500000000,60.2495422366,0.5231496691,60.2458076477,-0.0381524898,-0.0016091751,-0.0008213914,0.0000000000
0.9000000000,60.2203941345,0.5109924078,60.1958084106,-0.0390854701,0.0006793631,0.0028958784,0.0000000000
0.9500000000,60.1697006225,0.5182124383,60.1458091736,-0.0403947532,-0.0009984259,-0.0010209575,0.0000000000
1.0000000000,60.1189308167,0.4988242090,60.0958099365,-0.0408128314,0.0007064147,0.0025801216,0.0000000000
1.0500000000,60.0663375853,0.5008719565,60.0458068848,-0.0418586843,-0.0007398740,-0.0006847374,0.0000000000
1.1000000000,60.0114326478,0.5172205567,59.9958076477,-0.0421289131,0.0004518534,0.0022656519,0.0000000000
1.1500000000,59.9716987608,0.4907222093,59.9458045959,-0.0433468446,-0.0012303834,-0.0006928290,0.0000000000
1.2000000000,59.9009590150,0.5199172497,59.8958015442,-0.0432117023,0.0008934546,0.0021182303,0.0000000000
1.2500000000,59.8650627134,0.4983712734,59.8457984924,-0.0448103733,-0.0014751520,-0.0007007492,0.0000000000
1.3000000000,59.7977638245,0.4781763554,59.7957954407,-0.0450436808,0.0004690078,0.0019908037,0.0000000000
1.3500000000,59.7589988707,0.5236811637,59.7457962036,-0.0464254580,-0.0008651572,-0.0001021859,0.0000000000
1.4000000000,59.6985054017,0.4911568464,59.6957931518,-0.0465886407,0.0006820857,0.0018878757,0.0000000000
1.4500000000,59.6656303405,0.4983750581,59.6457901001,-0.0474958606,-0.0009929486,-0.0001137265,0.0000000000
1.5000000000,59.5999641418,0.5137332678,59.5957870483,-0.0482098274,0.0004632074,0.0014459087,0.0000000000
1.5500000000,59.5622329712,0.5597069855,59.5457839966,-0.0496970341,-0.0007534476,-0.0001224871,0.0000000000
1.6000000000,59.5113945007,0.4870547653,59.4957809448,-0.0493711233,0.0001616204,0.0015889923,0.0000000000
1.6500000000,59.4513740541,0.4906729164,59.4457817077,-0.0500389673,-0.0002319170,0.0001420862,0.0000000000
1.7000000000,59.4010810851,0.5186498761,59.3957786560,-0.0503684953,0.0003730342,0.0016131976,0.0000000000
1.7500000000,59.3460998537,0.5011937023,59.3457756042,-0.0514332540,-0.0002662283,0.0005638722,0.0000000000
1.8000000000,59.3052597045,0.5153088570,59.2957725525,-0.0525746755,0.0002323765,0.0011289487,0.0000000000
1.8500000000,59.2358703616,0.4906490143,59.2457695007,-0.0527968481,-0.0001902389,0.0008135041,0.0000000000
1.9000000000,59.2087821960,0.5185571313,59.1957702637,-0.0535292402,-0.0000113224,0.0012103122,0.0000000000
1.9500000000,59.1446228029,0.4782336654,59.1457672119,-0.0542712696,-0.0002085518,0.0006377235,0.0000000000
2.0000000000,59.1087646484,0.5016940237,59.0957641601,-0.0551546551,-0.0005432196,0.0007090990,0.0000000000
2.0500000000,59.0385894774,0.5162317155,59.0457649231,-0.0554674752,-0.0005031075,0.0010264751,0.0000000000
2.1000000000,59.0076103211,0.4755931795,58.9957695007,-0.0559239835,-0.0005965497,0.0007381681,0.0000000000
2.1500000000,58.9560470579,0.5078752041,58.9457702637,-0.0567380078,0.0000275742,0.0011939223,0.0000000000
2.2000000000,58.8962135316,0.5061774849,58.8957748413,-0.0577423051,-0.0002979246,0.0007097800,0.0000000000
2.2500000000,58.8605155942,0.4961697758,58.8457794189,-0.0589616187,0.0001283152,0.0012242211,0.0000000000
