OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
********************************* 
    1   0.00000e+00   0.00000e+00 
    2   0.00000e+00   0.00000e+00 
    3   0.00000e+00   0.00000e+00 
    4   0.00000e+00   0.00000e+00 
    5   0.00000e+00   0.00000e+00 
    6   5.76049e-03   3.47772e-03 
    7  -6.50805e-05   6.45186e-04 
    8  -5.90717e-03   3.34573e-03 
    9   1.18756e-02   8.40824e-03 
   10   5.74574e-03   6.35409e-03 
   11  -1.50805e-04   5.95748e-03 
   12  -6.08668e-03   6.12593e-03 
   13  -1.22708e-02   7.97815e-03 
   14   1.76675e-02   1.65213e-02 
   15  -3.07700e-04   1.35526e-02 
   16  -1.84839e-02   1.57254e-02 
   17   2.31990e-02   2.73979e-02 
   18   1.12202e-02   2.53168e-02 
   19  -5.83512e-04   2.43609e-02 
   20  -1.24393e-02   2.46765e-02 
   21  -2.46244e-02   2.61201e-02 
   22   2.83852e-02   4.13738e-02 
   23  -9.86059e-04   3.80439e-02 
   24  -3.06681e-02   3.95118e-02 
   25   3.32674e-02   5.81385e-02 
   26   1.58055e-02   5.57475e-02 
   27  -1.55705e-03   5.45414e-02 
   28  -1.90131e-02   5.44649e-02 
   29  -3.67285e-02   5.55697e-02 
   30   3.78156e-02   7.76339e-02 
   31  -2.31979e-03   7.37058e-02 
   32  -4.28397e-02   7.42613e-02 
   33   4.19838e-02   9.97918e-02 
   34   1.92953e-02   9.70978e-02 
   35  -3.29503e-03   9.54923e-02 
   36  -2.59898e-02   9.49778e-02 
   37  -4.89926e-02   9.55351e-02 
   38   4.57496e-02   1.24530e-01 
   39  -4.50027e-03   1.19820e-01 
   40  -5.51984e-02   1.19317e-01 
   41   4.91033e-02   1.51750e-01 
   42   2.15348e-02   1.48661e-01 
   43  -5.95533e-03   1.46601e-01 
   44  -3.35657e-02   1.45556e-01 
   45  -6.14863e-02   1.45514e-01 
   46   5.20318e-02   1.81365e-01 
   47  -7.67414e-03   1.75750e-01 
   48  -6.78729e-02   1.74053e-01 
   49   5.45195e-02   2.13291e-01 
   50   2.23902e-02   2.09757e-01 
   51  -9.66971e-03   2.07185e-01 
   52  -4.18583e-02   2.05557e-01 
   53  -7.43689e-02   2.04856e-01 
   54   5.65573e-02   2.47440e-01 
   55  -1.19513e-02   2.40824e-01 
   56  -8.09832e-02   2.37845e-01 
   57   5.81371e-02   2.83725e-01 
   58   2.17733e-02   2.79707e-01 
   59  -1.45282e-02   2.76585e-01 
   60  -5.09643e-02   2.74337e-01 
   61  -8.77264e-02   2.72941e-01 
   62   5.92540e-02   3.22059e-01 
   63  -1.74055e-02   3.14386e-01 
   64  -9.46043e-02   3.10067e-01 
   65   5.99036e-02   3.62357e-01 
   66   1.96283e-02   3.57835e-01 
   67  -2.05882e-02   3.54143e-01 
   68  -6.09415e-02   3.51255e-01 
   69  -1.01622e-01   3.49143e-01 
   70   6.00849e-02   4.04534e-01 
   71  -2.40777e-02   3.95777e-01 
   72  -1.08783e-01   3.90094e-01 
   73   5.97972e-02   4.48505e-01 
   74   1.59319e-02   4.43473e-01 
   75  -2.78751e-02   4.39204e-01 
