OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
  152  -5.45532e-03   4.01208e-02 
  153   3.12698e-03   4.26682e-02 
  154   9.33274e-04   4.25363e-02 
  155  -1.26210e-03   4.24277e-02 
  156  -3.45955e-03   4.23426e-02 
  157  -5.65947e-03   4.22810e-02 
  158   3.13683e-03   4.49024e-02 
  159  -1.36140e-03   4.46523e-02 
  160  -5.86809e-03   4.44957e-02 
  161   3.14140e-03   4.71914e-02 
  162   8.38770e-04   4.70498e-02 
  163  -1.46563e-03   4.69314e-02 
  164  -3.77219e-03   4.68364e-02 
  165  -6.08130e-03   4.67647e-02 
  166   3.14060e-03   4.95349e-02 
  167  -1.57489e-03   4.92649e-02 
  168  -6.29920e-03   4.90879e-02 
  169   3.13432e-03   5.19328e-02 
  170   7.23439e-04   5.17811e-02 
  171  -1.68929e-03   5.16526e-02 
  172  -4.10427e-03   5.15472e-02 
  173  -6.52189e-03   5.14650e-02 
  174   3.12245e-03   5.43849e-02 
  175  -1.80893e-03   5.40943e-02 
  176  -6.74948e-03   5.38960e-02 
  177   3.10489e-03   5.68911e-02 
  178   5.86458e-04   5.67290e-02 
  179  -1.93392e-03   5.65898e-02 
  180  -4.45663e-03   5.64737e-02 
  181  -6.98206e-03   5.63806e-02 
  182   3.08155e-03   5.94511e-02 
  183  -2.06434e-03   5.91390e-02 
  184  -7.21974e-03   5.89187e-02 
  185   3.05233e-03   6.20649e-02 
  186   4.27023e-04   6.18919e-02 
  187  -2.20031e-03   6.17417e-02 
  188  -4.83005e-03   6.16145e-02 
  189  -7.46261e-03   6.15100e-02 
  190   3.01712e-03   6.47321e-02 
  191  -2.34191e-03   6.43978e-02 
  192  -7.71078e-03   6.41546e-02 
  193   2.97583e-03   6.74527e-02 
  194   2.44345e-04   6.72685e-02 
  195  -2.48925e-03   6.71069e-02 
  196  -5.22534e-03   6.69681e-02 
  197  -7.96433e-03   6.68520e-02 
  198   2.92837e-03   7.02265e-02 
  199  -2.64242e-03   6.98691e-02 
  200  -8.22337e-03   6.96023e-02 
  201   2.87463e-03   7.30532e-02 
  202   3.76515e-05   7.28574e-02 
  203  -2.80151e-03   7.26841e-02 
  204  -5.64326e-03   7.25333e-02 
  205  -8.48799e-03   7.24051e-02 
  206   2.81453e-03   7.59328e-02 
  207  -2.96663e-03   7.55517e-02 
  208  -8.75827e-03   7.52605e-02 
  209   2.74797e-03   7.88650e-02 
  210  -1.93811e-04   7.86572e-02 
  211  -3.13786e-03   7.84717e-02 
  212  -6.08456e-03   7.83087e-02 
  213  -9.03433e-03   7.81681e-02 
  214   2.67486e-03   8.18497e-02 
  215  -3.31529e-03   8.14441e-02 
  216  -9.31624e-03   8.11278e-02 
  217   2.59511e-03   8.48867e-02 
  218  -4.50780e-04   8.46665e-02 
  219  -3.49901e-03   8.44685e-02 
  220  -6.54999e-03   8.42928e-02 
  221  -9.60409e-03   8.41394e-02 
  222   2.50863e-03   8.79758e-02 
  223  -3.68912e-03   8.75449e-02 
  224  -9.89799e-03   8.72028e-02 
  225   2.41533e-03   9.11169e-02 
  226  -7.33977e-04   9.08839e-02 
